household_id,yearly_peak_kW
MAC004993_119,14.161277087773277
MAC005061_121,10.275668190212793
MAC004876_116,10.015171475914643
MAC004996_119,9.697164188833414
MAC004944_118,9.682904214403008
MAC004894_116,9.305482703889007
MAC004892_116,9.254083567759324
MAC004908_117,8.978155838469554
MAC005119_122,8.960737954194943
MAC004922_117,8.252456595203933
MAC005029_120,8.005937710020138
MAC005008_120,7.99764080832718
MAC004884_116,7.898172234293881
MAC005044_121,7.836766387024662
MAC004950_118,7.599342011197621
MAC005047_121,7.514217428104123
MAC004958_118,7.35966946631534
MAC004888_116,7.164270753799052
MAC005041_120,6.965538024836909
MAC005103_122,6.780112563090901
MAC004978_119,6.721545243918845
MAC004858_115,6.566266007747258
MAC005009_120,6.479029845177126
MAC004901_116,6.459018916815717
MAC005117_122,6.449260749315544
MAC004900_116,6.414582372809939
MAC005133_122,6.370869361847843
MAC005123_122,6.344170554476172
MAC005001_119,6.309089793351774
MAC004976_119,6.163863064865543
MAC004991_119,6.090735111243428
MAC005077_121,6.067159120544797
MAC004852_115,5.9511397932795385
MAC004983_119,5.886448276779437
MAC004925_117,5.785651966098007
MAC004995_119,5.770517293458704
MAC004897_116,5.764865221617128
MAC004890_116,5.747564675353999
MAC004847_115,5.724684650851614
MAC004947_118,5.638266191585183
MAC004997_119,5.5926180670311965
MAC004877_116,5.591076833084448
MAC005101_122,5.479469018746296
MAC005089_122,5.447913889022979
MAC004861_115,5.447227062031498
MAC004902_116,5.363278522565911
MAC004923_117,5.333312610116527
MAC005096_122,5.300343736831875
MAC005048_121,5.24461990907828
MAC005100_122,5.22335123387564
MAC004903_116,5.209852078016303
MAC004954_118,5.028647166873316
MAC005050_121,5.014813402793312
MAC004870_115,4.980080724005062
MAC004859_115,4.950450457029442
MAC005075_121,4.945828734267307
MAC005036_120,4.917123302225276
MAC004868_115,4.903809167148819
MAC004843_115,4.835769050637388
MAC005042_120,4.7389320198314095
MAC004920_117,4.724886518541604
MAC004895_116,4.705025833893691
MAC005078_121,4.664108114327813
MAC004919_117,4.654029948886154
MAC004854_115,4.603519033771122
MAC005015_120,4.534951979029301
MAC004863_115,4.5297880120757865
MAC004959_118,4.450054361640245
MAC004873_115,4.413160312822763
MAC005021_120,4.411074556080189
MAC005116_122,4.405428533859389
MAC004881_116,4.374205970842128
MAC005107_122,4.346443661464265
MAC004970_118,4.34114705232738
MAC005020_120,4.339193878519113
MAC004953_118,4.287056166355241
MAC004943_118,4.261334211205435
MAC004985_119,4.251145476410851
MAC005052_121,4.230717148518977
MAC004872_115,4.2277786322499065
MAC004879_116,4.101763656263306
MAC004844_115,4.048319137950077
MAC004865_115,4.029999990267014
MAC004873_116,4.013363648909482
MAC004878_116,4.003712279236812
MAC004980_119,3.991624351815071
MAC004982_119,3.968984957601872
MAC005058_121,3.966407190014092
MAC005028_120,3.965347155234877
MAC004945_118,3.9185877949154593
MAC004929_117,3.881332217056825
MAC004886_116,3.8667265324869895
MAC004853_115,3.759646900071751
MAC004928_117,3.745523928075853
MAC005074_121,3.6915424469603577
MAC005019_120,3.683552212817289
MAC004999_119,3.669487929014608
MAC004971_118,3.646137401956626
MAC004911_117,3.637874197796765
MAC004989_119,3.615085971946207
MAC004936_118,3.612039243694547
MAC005088_122,3.598929014491796
MAC005115_122,3.558861399862539
MAC005027_120,3.53645743906558
MAC004940_118,3.5269299334667323
MAC005067_121,3.52102264505964
MAC004986_119,3.5185354491449923
MAC005092_122,3.5145812044579534
MAC005097_122,3.4939829819554102
MAC004909_117,3.491792533835249
MAC004899_116,3.441481540517521
MAC005002_119,3.4152475234396125
MAC005066_121,3.405530797352844
MAC004869_115,3.3859475336960614
MAC005043_120,3.346474240349337
MAC005064_121,3.330668686647015
MAC005120_122,3.320739095811415
MAC005060_121,3.29901882173875
