household_id,yearly_peak_kW
MAC004993_119,14.003882350903034
MAC004876_116,9.87023418816494
MAC005061_121,9.717179929752012
MAC004944_118,9.587164424701704
MAC004996_119,9.54296421662066
MAC004894_116,9.220724229111775
MAC004892_116,9.120160571418651
MAC005119_122,8.879119567911921
MAC004908_117,8.835389215789492
MAC004922_117,8.170860367310992
MAC005029_120,7.913885516423704
MAC005008_120,7.81448630919831
MAC004884_116,7.801036930348189
MAC005047_121,7.439920545639206
MAC004950_118,7.422017755845154
MAC005044_121,7.4108337910991136
MAC004958_118,7.292634323842964
MAC004888_116,7.081896038644751
MAC005041_120,6.963939690137013
MAC005103_122,6.641630035505784
MAC004978_119,6.567614693394473
MAC004858_115,6.471240496891584
MAC004901_116,6.457692892517087
MAC005009_120,6.376003207426435
MAC004900_116,6.283565730811197
MAC005133_122,6.256728560306323
MAC005001_119,6.246708619620482
MAC005117_122,6.188371076393629
MAC005123_122,6.110972747320658
MAC004976_119,6.069281116766292
MAC004991_119,6.035257987194253
MAC005077_121,6.011896737103559
MAC004983_119,5.885239800144182
MAC004852_115,5.85650742727148
MAC004897_116,5.763681705751847
MAC004925_117,5.6506486427701255
MAC004995_119,5.623733945504753
MAC004890_116,5.609811660699295
MAC004847_115,5.593583270453816
MAC004947_118,5.548609001798532
MAC004997_119,5.528815871544729
MAC005101_122,5.42955957810826
MAC004902_116,5.362177451686132
MAC005089_122,5.328206330065781
MAC004877_116,5.2871987088777885
MAC004923_117,5.256130120900985
MAC005096_122,5.239400436313831
MAC004903_116,5.208656608645821
MAC005048_121,5.196849578572589
MAC005100_122,5.1853883038843644
MAC004861_115,5.143943624016404
MAC004954_118,5.027614795174396
MAC004870_115,4.934719934042201
MAC005050_121,4.897796949122509
MAC005075_121,4.844811109891436
MAC004859_115,4.841673712018185
MAC004868_115,4.791506710292099
MAC005042_120,4.670351271569995
MAC004843_115,4.658016777296708
MAC004895_116,4.650927492809206
MAC005036_120,4.649874925896175
MAC004920_117,4.649753484215289
MAC005078_121,4.610480244783256
MAC004919_117,4.547447702365221
MAC004863_115,4.5287485923874495
MAC004854_115,4.518174249100037
MAC005015_120,4.403583127897761
MAC004959_118,4.370326973917821
MAC005021_120,4.367460022567846
MAC005116_122,4.354774959604555
MAC004881_116,4.3343637575741285
MAC005107_122,4.303468166418246
MAC005020_120,4.285828504383672
MAC004943_118,4.219200236501759
MAC004953_118,4.199493848135322
MAC004873_115,4.189741346098457
MAC004970_118,4.18367035905295
MAC004985_119,4.183545660467775
MAC004872_115,4.179167674828685
MAC005052_121,4.10511864930749
MAC004879_116,4.0520393702406805
MAC004844_115,4.011445246883608
MAC004980_119,3.990660153656933
MAC004865_115,3.983663089739624
MAC004878_116,3.940047035441403
MAC005058_121,3.927189308494947
MAC005028_120,3.926139754817743
MAC004982_119,3.9058719321588447
MAC004886_116,3.828494244233833
MAC004929_117,3.82516245843126
MAC004945_118,3.77454909465134
MAC004853_115,3.716418516734908
MAC004928_117,3.711408030439221
MAC005074_121,3.6579182366602314
MAC005019_120,3.650000781123133
MAC004999_119,3.636064601071959
MAC004971_118,3.60561260794146
MAC004911_117,3.6047388217772247
MAC004873_116,3.5785498810545207
MAC004936_118,3.576325177963134
MAC004989_119,3.5735197487490358
MAC004940_118,3.492057386693104
MAC005115_122,3.486172323185411
MAC004986_119,3.467616002975081
MAC005027_120,3.4539371786214565
MAC005097_122,3.443418853516262
MAC004909_117,3.424690528628986
MAC005067_121,3.4129220626325902
MAC005092_122,3.385392901131002
MAC004899_116,3.3611774627983824
MAC005066_121,3.3359734694769503
MAC004869_115,3.2614875222223096
MAC005088_122,3.261394117504655
MAC004942_118,3.247655698809214
MAC005064_121,3.2367260720380364
MAC004889_116,3.2354157243757835
MAC005054_121,3.22508341207994
MAC005043_120,3.223465180638408
MAC005060_121,3.2151024234347663
MAC005026_120,3.2102950170672826
MAC005120_122,3.198676003618468
MAC004866_115,3.1487355136385524
MAC004935_117,3.130014135978895
MAC004987_119,3.115132735622641
MAC004975_119,3.106561865889854
MAC005118_122,3.0918326017191595
MAC004862_115,3.0895514161375583
MAC005090_122,3.0890273597907663
MAC005002_119,3.045234543372977
MAC005072_121,3.03859790014586
MAC004918_117,2.996799765186685
MAC005043_121,2.9947418358299163
MAC004882_116,2.9749167647543207
MAC005108_122,2.963134104699978
MAC005005_119,2.959654854326262
