region_type,N_households,num_simulations,sampling_with_replacement,households_available,timestamps_available,mean_peak_kW,median_peak_kW,std_peak_kW,p5_peak_kW,p50_peak_kW,p95_peak_kW,mean_ADMD_kW_per_household,median_ADMD_kW_per_household,std_ADMD_kW_per_household,p5_ADMD_kW_per_household,p50_ADMD_kW_per_household,p95_ADMD_kW_per_household,mean_DF,median_DF,std_DF,p5_DF,p50_DF,p95_DF,mean_CF,median_CF,std_CF,p5_CF,p50_CF,p95_CF
town,1,2000,False,207,17519,4.999269150924598,4.069203796872691,2.918086888257086,1.8342390299018445,4.069203796872691,11.426085143204435,4.999269150924598,4.069203796872691,2.918086888257086,1.8342390299018445,4.069203796872691,11.426085143204435,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
town,2,2000,False,207,17519,7.532148245001945,6.722231233487883,3.33745056900797,3.5654717388591,6.722231233487883,13.9881292133356,3.7660741225009726,3.3611156167439415,1.668725284503985,1.78273586942955,3.3611156167439415,6.9940646066678,1.3435600754065697,1.326869904123039,0.15901059454333502,1.1039710452394802,1.326869904123039,1.637222187982366,0.7545130413913443,0.753653395977553,0.08739668211009693,0.6107906474992819,0.753653395977553,0.9058208816185234
town,3,2000,False,207,17519,9.868122558696177,9.17896122147146,3.71439103835597,5.193422036626342,9.17896122147146,16.95920598945072,3.289374186232059,3.0596537404904876,1.2381303461186568,1.7311406788754473,3.0596537404904876,5.65306866315024,1.5832953275987092,1.5715155191576404,0.20569050131823383,1.2763648552162505,1.5715155191576404,1.9447294357712008,0.6422195013709097,0.6363284288500534,0.08301829773818963,0.5142103480411429,0.6363284288500534,0.7834750355104624
town,5,2000,False,207,17519,13.510032813718716,12.8078846047894,4.021642098394092,8.101826410593917,12.8078846047894,20.535720758014392,2.7020065627437435,2.5615769209578803,0.8043284196788184,1.6203652821187835,2.5615769209578803,4.107144151602879,1.8859459979286943,1.8674188904676998,0.26066822311366783,1.5008659588254245,1.8674188904676998,2.3433449308491032,0.5403822466433094,0.5354984987289746,0.07463096518098912,0.4267404473353708,0.5354984987289746,0.6662820936515562
town,10,2000,False,207,17519,21.672246728781747,21.22569365932373,4.526831974549657,15.227882694198712,21.22569365932373,29.86176691692397,2.1672246728781746,2.1225693659323728,0.45268319745496566,1.522788269419871,2.1225693659323728,2.9861766916923966,2.337296922401315,2.325805984615196,0.2843605166819284,1.9038920175346747,2.325805984615196,2.835336353427022,0.43425878844513827,0.4299584783158895,0.05349412488393945,0.35269184629640693,0.4299584783158895,0.5252399191977564
town,15,2000,False,207,17519,29.489424308354096,29.040251173096635,5.137513403526317,22.034085510078423,29.040251173096635,38.42204548807554,1.96596162055694,1.9360167448731092,0.34250089356842106,1.4689390340052282,1.9360167448731092,2.5614696992050363,2.5610030023738397,2.551171821159532,0.29168851676968227,2.1089752631447514,2.551171821159532,3.0447801421263576,0.3956511009667719,0.3919767356241135,0.046055285839623025,0.32843094290904506,0.3919767356241135,0.4741639323216036
town,20,2000,False,207,17519,37.473681490912384,37.066886338448235,5.561162397780908,29.105977429323847,37.066886338448235,47.327684675444814,1.8736840745456194,1.8533443169224117,0.27805811988904544,1.4552988714661923,1.8533443169224117,2.3663842337722407,2.701912333342378,2.6919767432473214,0.2766749362741619,2.2691060166181503,2.6919767432473214,3.171784962921658,0.37403861878618727,0.3714742353256473,0.03875907762115997,0.31527991452482185,0.3714742353256473,0.44070219479549305
town,30,2000,False,207,17519,52.59320307959267,52.15427749734077,6.195215387644055,42.949763859270035,52.15427749734077,63.45904968411738,1.7531067693197557,1.7384759165780257,0.20650717958813514,1.4316587953090012,1.7384759165780257,2.1153016561372464,2.8879467890655643,2.8793340632976294,0.25553799922173337,2.4609354597726334,2.8793340632976294,3.3048856069067867,0.349015680906326,0.347302529517454,0.03132936069178257,0.30258233402400064,0.347302529517454,0.40634954330116474
town,40,2000,False,207,17519,67.37241496871022,66.90711995462553,6.638705749837864,57.35927989473502,66.90711995462553,79.11218056730013,1.6843103742177554,1.672677998865638,0.16596764374594658,1.4339819973683754,1.672677998865638,1.9778045141825031,2.993407870536277,2.9898065882173146,0.23922926191573335,2.6159380755983936,2.9898065882173146,3.384826449310564,0.33624006322603095,0.33446979730336307,0.027370174077017397,0.29543612240825645,0.33446979730336307,0.38227205082790694
town,50,2000,False,207,17519,82.15797910098016,81.9563491319526,7.022824154838661,71.28624798137604,81.9563491319526,93.93885244159105,1.6431595820196032,1.639126982639052,0.14045648309677322,1.4257249596275205,1.639126982639052,1.878777048831821,3.0626974682854606,3.064420269422332,0.22790018267853052,2.683679679721359,3.064420269422332,3.437255557898466,0.32834828658386983,0.32632599714071076,0.02483516975113496,0.2909297832239921,0.32632599714071076,0.3726227119009659
town,75,2000,False,207,17519,119.96426042089122,119.80891872924764,8.107364609199557,107.05862599047595,119.80891872924764,133.5815554622643,1.5995234722785499,1.5974522497233017,0.10809819478932743,1.4274483465396792,1.5974522497233017,1.7810874061635242,3.145796737623472,3.143922377426964,0.19306275381188462,2.8312378760982235,3.143922377426964,3.4615014819071255,0.31909023782822427,0.31807401441208416,0.01971207406370304,0.2888919847801051,0.31807401441208416,0.35320239567390754
