household_id,yearly_peak_kW
MAC004993_119,16.606641570354746
MAC004863_115,15.99326402893058
MAC005061_121,14.642024603625954
MAC004894_116,13.975258533468688
MAC005009_120,13.191203003006589
MAC004876_116,13.190306193190516
MAC004970_118,12.795739425746795
MAC005029_120,12.14084207041152
MAC004877_116,11.756732911362546
MAC004954_118,11.659706734010092
MAC004996_119,11.426085143204435
MAC004983_119,11.374249652352765
MAC004858_115,11.302993226365158
MAC004884_116,11.246875741358185
MAC005041_120,11.23386029076931
MAC005044_121,10.70620099513143
MAC004902_116,10.40944905073585
MAC004843_115,10.369154314768965
MAC004922_117,10.197556446191417
MAC005119_122,10.194518026373071
MAC004897_116,10.02796594927976
MAC005103_122,9.806022997474669
MAC004944_118,9.321351825770936
MAC005047_121,9.165361032107503
MAC004903_116,9.087237313647044
MAC004890_116,8.963015584178414
MAC004958_118,8.70161955235305
MAC004908_117,8.561487698572584
MAC004971_118,8.538584891281742
MAC005021_120,8.440744534699313
MAC004900_116,8.320241581035123
MAC005117_122,8.29520997978451
MAC004901_116,8.28710671017186
MAC004947_118,8.244257137470289
MAC004852_115,8.171609039709724
MAC004865_115,8.169761556219981
MAC004995_119,8.039354358934585
MAC004976_119,7.992079651341146
MAC005077_121,7.947872917078088
MAC004950_118,7.824384450196315
MAC004866_115,7.571291912944178
MAC004919_117,7.346386800941373
MAC005008_120,7.156674640130027
MAC005001_119,7.148521439512392
MAC005123_122,7.101092009507657
MAC004978_119,7.028300848270997
MAC004892_116,6.974962970278298
MAC004895_116,6.862369780804924
MAC004859_115,6.826504443841453
MAC004991_119,6.782730726006737
MAC004923_117,6.74362503241979
MAC004873_115,6.68997913803717
MAC005096_122,6.649020829196887
MAC004888_116,6.636920805291089
MAC004868_115,6.591518309361679
MAC004997_119,6.44832260179949
MAC005133_122,6.264458463266193
MAC004980_119,6.255609853198916
MAC005052_121,6.215617915520996
MAC004861_115,6.202303717005436
MAC005116_122,6.145928650410174
MAC005036_120,6.085021385221582
MAC005048_121,6.071093391562437
MAC005101_122,6.00753526915311
MAC005107_122,5.985268178535304
MAC005014_120,5.917123440830135
MAC005064_121,5.852267966948889
MAC005028_120,5.845530579814086
MAC005020_120,5.845450837511285
MAC005015_120,5.7917893298123975
MAC004920_117,5.785859184321774
MAC004985_119,5.783192817319207
MAC004925_117,5.763620090132238
MAC005042_120,5.505164729252586
MAC005075_121,5.477202368756684
MAC005035_120,5.471465150956538
MAC005100_122,5.459218900489463
MAC004870_115,5.403944910932719
MAC005088_122,5.373659644399989
MAC004889_116,5.3549395278431415
MAC004982_119,5.285510593244069
MAC004847_115,5.281445601220502
MAC005058_121,5.234532914946666
MAC004886_116,5.205144407762973
MAC004878_116,5.1223026853580444
MAC005074_121,5.014578882623876
MAC004873_116,4.898971946536002
MAC004943_118,4.876310513275297
MAC005060_121,4.859021770992966
MAC004953_118,4.830996943221318
MAC004874_116,4.779313163211236
MAC004879_116,4.734635426625997
MAC004929_117,4.7328682707125
MAC005097_122,4.73166321563858
MAC004999_119,4.71229384802712
MAC004853_115,4.7007740861843335
MAC004959_118,4.674998599554525
MAC004945_118,4.668826057960317
MAC005027_120,4.668458792329292
MAC004871_115,4.65064001873405
MAC004844_115,4.6440241132741455
MAC005050_121,4.6346079690829045
MAC004989_119,4.587832964310872
MAC004928_117,4.466590600289826
MAC005043_120,4.412779335899987
MAC004909_117,4.402612837243227
MAC005067_121,4.375691228281364
MAC005089_122,4.356966893184479
MAC005086_121,4.353198670928197
MAC004938_118,4.318794273515891
MAC004911_117,4.2989132027664
MAC004899_116,4.270339008889295
MAC005098_122,4.26570908222161
MAC004964_118,4.214360868049796
MAC004942_118,4.1753403386216
MAC004986_119,4.159493131621125
MAC004872_115,4.146835750936637
MAC004887_116,4.124442674445454
MAC004975_119,4.117997921761593
MAC004881_116,4.105885899774789
MAC005043_121,4.104692029725182
MAC005078_121,4.099262949188338
MAC004987_119,4.092608083431259
MAC005115_122,4.069203796872691
MAC005072_121,4.03284378221342
MAC004857_115,4.005469959693541
MAC005054_121,3.9927579505043
MAC004984_119,3.9601152820924255
MAC005066_121,3.9598077497135153
MAC005090_122,3.949118435568835
MAC005019_120,3.9406678451957022
MAC004915_117,3.9382468929875736
MAC005007_120,3.930369289263476
MAC005026_120,3.887545748981573
MAC004898_116,3.883807214128899
MAC004940_118,3.876017977987733
MAC004924_117,3.86328665926597
MAC005002_119,3.860908778667364
MAC004848_115,3.841876926850016
MAC005032_120,3.841726755556543
MAC004936_118,3.839326544335744
MAC005005_119,3.821674837813328
MAC004914_117,3.8188671184998495
MAC004869_115,3.788911455744553
MAC004875_116,3.763332705684053
MAC005129_122,3.719856369994672
MAC004973_119,3.695005248850289
MAC004862_115,3.692872111650765
MAC005118_122,3.683364446754632
MAC005108_122,3.663767831464155
MAC004961_118,3.60920474329976
MAC004927_117,3.60822374031146
MAC005092_122,3.584206022373772
MAC005038_120,3.5535899506780355
MAC004960_118,3.480115727765458
MAC004934_117,3.479519608728323
MAC005120_122,3.469564652516297
MAC005081_121,3.4136667755523087
MAC004935_117,3.399947388616475
MAC005063_121,3.3997537309411667
MAC005024_120,3.397749914118044
MAC004891_116,3.3506031890640045
MAC005130_122,3.343430263252747
MAC005016_120,3.3425868486554915
MAC004913_117,3.324215111033724
MAC004882_116,3.295529327192029
MAC005018_120,3.27942917154514
MAC004957_118,3.228983766145733
MAC004907_117,3.2082827899008395
MAC005095_122,3.1677796609391566
MAC005126_122,3.150701901439548
MAC005000_119,3.14160157022276
MAC004918_117,3.099175305077494
MAC005025_120,3.0803664709882903
MAC005114_122,3.0640033019192905
